kilavuz_kodu,universite_adi,birim_adi,birim_grup_adi,il_kodu,il_adi,universite_turu,ogretim_turu,burs_orani,puan_turu,kaynak,cekme_tarihi,yil,genel_kontenjan,yerlesen_sayisi,doluluk_orani,taban_puan,taban_siralama
101910052,BİLECİK ŞEYH EDEBALİ ÜNİVERSİTESİ,Bilgisayar Mühendisliği,Bilgisayar Mühendisliği,11.0,BİLECİK,DEVLET,,,SAY,yokatlas_api,2026-07-22,2023,85.0,,,405.22134,104280.0
101910052,BİLECİK ŞEYH EDEBALİ ÜNİVERSİTESİ,Bilgisayar Mühendisliği,Bilgisayar Mühendisliği,11.0,BİLECİK,DEVLET,,,SAY,yokatlas_api,2026-07-22,2022,80.0,,,393.98126,113031.0
102610634,SİVAS CUMHURİYET ÜNİVERSİTESİ,Bilgisayar Mühendisliği,Bilgisayar Mühendisliği,58.0,SİVAS,DEVLET,,,SAY,yokatlas_api,2026-07-22,2025,,,,359.98394,155955.0
102610634,SİVAS CUMHURİYET ÜNİVERSİTESİ,Bilgisayar Mühendisliği,Bilgisayar Mühendisliği,58.0,SİVAS,DEVLET,,,SAY,yokatlas_api,2026-07-22,2024,75.0,,,353.58237,142273.0
102610634,SİVAS CUMHURİYET ÜNİVERSİTESİ,Bilgisayar Mühendisliği,Bilgisayar Mühendisliği,58.0,SİVAS,DEVLET,,,SAY,yokatlas_api,2026-07-22,2023,75.0,,,394.02688,118255.0
102610634,SİVAS CUMHURİYET ÜNİVERSİTESİ,Bilgisayar Mühendisliği,Bilgisayar Mühendisliği,58.0,SİVAS,DEVLET,,,SAY,yokatlas_api,2026-07-22,2022,70.0,,,372.1554,141068.0
107310376,BURDUR MEHMET AKİF ERSOY ÜNİVERSİTESİ,Bilgisayar Mühendisliği,Bilgisayar Mühendisliği,15.0,BURDUR,DEVLET,,,SAY,yokatlas_api,2026-07-22,2025,,,,358.56181,158351.0
107310376,BURDUR MEHMET AKİF ERSOY ÜNİVERSİTESİ,Bilgisayar Mühendisliği,Bilgisayar Mühendisliği,15.0,BURDUR,DEVLET,,,SAY,yokatlas_api,2026-07-22,2024,70.0,,,345.58727,155551.0
107310376,BURDUR MEHMET AKİF ERSOY ÜNİVERSİTESİ,Bilgisayar Mühendisliği,Bilgisayar Mühendisliği,15.0,BURDUR,DEVLET,,,SAY,yokatlas_api,2026-07-22,2023,70.0,,,400.618,109891.0
107310376,BURDUR MEHMET AKİF ERSOY ÜNİVERSİTESİ,Bilgisayar Mühendisliği,Bilgisayar Mühendisliği,15.0,BURDUR,DEVLET,,,SAY,yokatlas_api,2026-07-22,2022,65.0,,,385.04739,123895.0
111490231,KÜTAHYA SAĞLIK BİLİMLERİ ÜNİVERSİTESİ,Bilgisayar Mühendisliği,Bilgisayar Mühendisliği,43.0,KÜTAHYA,DEVLET,,,SAY,yokatlas_api,2026-07-22,2025,,,,356.00128,163046.0
111490231,KÜTAHYA SAĞLIK BİLİMLERİ ÜNİVERSİTESİ,Bilgisayar Mühendisliği,Bilgisayar Mühendisliği,43.0,KÜTAHYA,DEVLET,,,SAY,yokatlas_api,2026-07-22,2024,65.0,,,343.51114,159261.0
111490231,KÜTAHYA SAĞLIK BİLİMLERİ ÜNİVERSİTESİ,Bilgisayar Mühendisliği,Bilgisayar Mühendisliği,43.0,KÜTAHYA,DEVLET,,,SAY,yokatlas_api,2026-07-22,2023,65.0,,,394.39915,117780.0
111490231,KÜTAHYA SAĞLIK BİLİMLERİ ÜNİVERSİTESİ,Bilgisayar Mühendisliği,Bilgisayar Mühendisliği,43.0,KÜTAHYA,DEVLET,,,SAY,yokatlas_api,2026-07-22,2022,60.0,,,373.18662,139659.0
206090376,YAŞAR ÜNİVERSİTESİ (İZMİR),Bilgisayar Mühendisliği (İngilizce) (%50 İndirimli),Bilgisayar Mühendisliği,35.0,İZMİR,VAKIF,,,SAY,yokatlas_api,2026-07-22,2025,,,,353.86952,166926.0
206090376,YAŞAR ÜNİVERSİTESİ (İZMİR),Bilgisayar Mühendisliği (İngilizce) (%50 İndirimli),Bilgisayar Mühendisliği,35.0,İZMİR,VAKIF,,,SAY,yokatlas_api,2026-07-22,2024,60.0,,,361.81755,129519.0
206090376,YAŞAR ÜNİVERSİTESİ (İZMİR),Bilgisayar Mühendisliği (İngilizce) (%50 İndirimli),Bilgisayar Mühendisliği,35.0,İZMİR,VAKIF,,,SAY,yokatlas_api,2026-07-22,2023,58.0,,,427.42732,79855.0
206090376,YAŞAR ÜNİVERSİTESİ (İZMİR),Bilgisayar Mühendisliği (İngilizce) (%50 İndirimli),Bilgisayar Mühendisliği,35.0,İZMİR,VAKIF,,,SAY,yokatlas_api,2026-07-22,2022,60.0,,,425.54708,79216.0
109190122,SİNOP ÜNİVERSİTESİ,Bilgisayar Mühendisliği,Bilgisayar Mühendisliği,57.0,SİNOP,DEVLET,,,SAY,yokatlas_api,2026-07-22,2025,,,,353.68345,167300.0
109190122,SİNOP ÜNİVERSİTESİ,Bilgisayar Mühendisliği,Bilgisayar Mühendisliği,57.0,SİNOP,DEVLET,,,SAY,yokatlas_api,2026-07-22,2024,30.0,,,334.56709,176147.0
109190122,SİNOP ÜNİVERSİTESİ,Bilgisayar Mühendisliği,Bilgisayar Mühendisliği,57.0,SİNOP,DEVLET,,,SAY,yokatlas_api,2026-07-22,2023,30.0,,,0.0,
103710118,ERZURUM TEKNİK ÜNİVERSİTESİ,Bilgisayar Mühendisliği,Bilgisayar Mühendisliği,25.0,ERZURUM,DEVLET,,,SAY,yokatlas_api,2026-07-22,2025,,,,352.96314,168668.0
103710118,ERZURUM TEKNİK ÜNİVERSİTESİ,Bilgisayar Mühendisliği,Bilgisayar Mühendisliği,25.0,ERZURUM,DEVLET,,,SAY,yokatlas_api,2026-07-22,2024,75.0,,,341.25913,163303.0
103710118,ERZURUM TEKNİK ÜNİVERSİTESİ,Bilgisayar Mühendisliği,Bilgisayar Mühendisliği,25.0,ERZURUM,DEVLET,,,SAY,yokatlas_api,2026-07-22,2023,75.0,,,380.74711,136456.0
103710118,ERZURUM TEKNİK ÜNİVERSİTESİ,Bilgisayar Mühendisliği,Bilgisayar Mühendisliği,25.0,ERZURUM,DEVLET,,,SAY,yokatlas_api,2026-07-22,2022,70.0,,,353.24645,170410.0
107090078,NECMETTİN ERBAKAN ÜNİVERSİTESİ (KONYA),Bilgisayar Mühendisliği,Bilgisayar Mühendisliği,42.0,KONYA,DEVLET,,,SAY,yokatlas_api,2026-07-22,2025,,,,351.64124,171142.0
107090078,NECMETTİN ERBAKAN ÜNİVERSİTESİ (KONYA),Bilgisayar Mühendisliği,Bilgisayar Mühendisliği,42.0,KONYA,DEVLET,,,SAY,yokatlas_api,2026-07-22,2024,75.0,,,340.24385,165246.0
107090078,NECMETTİN ERBAKAN ÜNİVERSİTESİ (KONYA),Bilgisayar Mühendisliği,Bilgisayar Mühendisliği,42.0,KONYA,DEVLET,,,SAY,yokatlas_api,2026-07-22,2023,75.0,,,385.13339,130202.0
107090078,NECMETTİN ERBAKAN ÜNİVERSİTESİ (KONYA),Bilgisayar Mühendisliği,Bilgisayar Mühendisliği,42.0,KONYA,DEVLET,,,SAY,yokatlas_api,2026-07-22,2022,70.0,,,365.10124,151404.0
108090088,NEVŞEHİR HACI BEKTAŞ VELİ ÜNİVERSİTESİ,Bilgisayar Mühendisliği,Bilgisayar Mühendisliği,50.0,NEVŞEHİR,DEVLET,,,SAY,yokatlas_api,2026-07-22,2025,,,,350.89046,172591.0
108090088,NEVŞEHİR HACI BEKTAŞ VELİ ÜNİVERSİTESİ,Bilgisayar Mühendisliği,Bilgisayar Mühendisliği,50.0,NEVŞEHİR,DEVLET,,,SAY,yokatlas_api,2026-07-22,2024,55.0,,,340.04125,165628.0
108090088,NEVŞEHİR HACI BEKTAŞ VELİ ÜNİVERSİTESİ,Bilgisayar Mühendisliği,Bilgisayar Mühendisliği,50.0,NEVŞEHİR,DEVLET,,,SAY,yokatlas_api,2026-07-22,2023,55.0,,,386.12126,128804.0
108090088,NEVŞEHİR HACI BEKTAŞ VELİ ÜNİVERSİTESİ,Bilgisayar Mühendisliği,Bilgisayar Mühendisliği,50.0,NEVŞEHİR,DEVLET,,,SAY,yokatlas_api,2026-07-22,2022,50.0,,,359.67784,159616.0
201110544,ÇANKAYA ÜNİVERSİTESİ (ANKARA),Bilgisayar Mühendisliği (İngilizce) (%50 İndirimli),Bilgisayar Mühendisliği,6.0,ANKARA,VAKIF,,,SAY,yokatlas_api,2026-07-22,2025,,,,349.89142,174564.0
201110544,ÇANKAYA ÜNİVERSİTESİ (ANKARA),Bilgisayar Mühendisliği (İngilizce) (%50 İndirimli),Bilgisayar Mühendisliği,6.0,ANKARA,VAKIF,,,SAY,yokatlas_api,2026-07-22,2024,68.0,,,382.75156,101893.0
201110544,ÇANKAYA ÜNİVERSİTESİ (ANKARA),Bilgisayar Mühendisliği (İngilizce) (%50 İndirimli),Bilgisayar Mühendisliği,6.0,ANKARA,VAKIF,,,SAY,yokatlas_api,2026-07-22,2023,65.0,,,443.98716,63723.0
201110544,ÇANKAYA ÜNİVERSİTESİ (ANKARA),Bilgisayar Mühendisliği (İngilizce) (%50 İndirimli),Bilgisayar Mühendisliği,6.0,ANKARA,VAKIF,,,SAY,yokatlas_api,2026-07-22,2022,76.0,,,441.20457,64487.0
105310425,İNÖNÜ ÜNİVERSİTESİ (MALATYA),Bilgisayar Mühendisliği,Bilgisayar Mühendisliği,44.0,MALATYA,DEVLET,,,SAY,yokatlas_api,2026-07-22,2025,,,,349.27953,175759.0
105310425,İNÖNÜ ÜNİVERSİTESİ (MALATYA),Bilgisayar Mühendisliği,Bilgisayar Mühendisliği,44.0,MALATYA,DEVLET,,,SAY,yokatlas_api,2026-07-22,2024,85.0,,9.0,332.74223,179870.0
105310425,İNÖNÜ ÜNİVERSİTESİ (MALATYA),Bilgisayar Mühendisliği,Bilgisayar Mühendisliği,44.0,MALATYA,DEVLET,,,SAY,yokatlas_api,2026-07-22,2023,85.0,,,393.13735,119401.0
